Time,X,Y,Theta,Linear Velocity,Angular Velocity
0,-1.8393797609,-0.1272250116,0.0409092417,-3.6819217257289E-06,-2.10257184107832E-07
0.033,-2.1062908475,-0.4633588467,-0.0052678564,1.04288108104811E-06,1.61567841132637E-05
0.066,-1.9010908164,-0.4626931835,-0.3030206886,6.59598526908667E-07,8.02164777269354E-06
0.1,-2.1808914918,-0.4830142177,0.2434296369,6.34641992292018E-07,7.55859991841135E-06
0.133,-1.8646200903,-0.1893399163,-0.0317385552,6.32823628166079E-07,7.52485402699676E-06
0.166,-2.1528374904,-0.3763037711,0.1324672068,6.32676517398068E-07,7.52212417864939E-06
0.2,-2.0087648179,-0.6219995426,0.0092081357,6.32661851796001E-07,7.52185360397561E-06
0.233,-1.9553525996,-0.3230370024,-0.1633678282,6.32658100130357E-07,7.52178493712563E-06
0.266,-1.8935274689,-0.7194900724,0.0405084744,6.32655257959414E-07,7.52173446016968E-06
0.3,-1.8008123174,-0.6486762992,-0.1141893363,6.32652643162146E-07,7.52168625695049E-06
0.333,-1.7732724833,-0.7338124406,0.1554299912,6.32650255738554E-07,7.5216426012048E-06
0.366,-2.2277168276,-0.5221087035,0.0330223119,6.32647982001799E-07,7.52160167394322E-06
0.4,-2.2450998044,-0.4788419464,-0.1266768839,6.32645765108464E-07,7.5215621109237E-06
0.433,-2.2488217979,-0.5438909561,0.0195663167,6.32643775588804E-07,7.52152618588298E-06
0.466,-2.0725669718,-0.7443428361,-0.1208423342,6.326419565994E-07,7.52149253457901E-06
0.5,-1.8389073261,-0.2478083745,-0.0544327318,6.32640137609997E-07,7.52145979276975E-06
0.533,-2.0264753049,-0.674952256,-0.1234393821,6.3263848915085E-07,7.52143023419194E-06
0.566,-1.9997751965,-0.5333668956,-0.025713948,6.3263695437854E-07,7.52140249460354E-06
0.6,-1.9567594877,-0.5954624908,0.1851710756,6.3263547644965E-07,7.52137520976248E-06
0.633,-2.2319168039,-0.6063071795,-0.0482832441,6.32634112207597E-07,7.52135110815289E-06
0.666,-2.0299670741,-1.0305597907,0.1523754987,6.32632861652382E-07,7.52132791603799E-06
0.7,-2.0491979712,-0.1816534503,-0.0263086575,6.32631611097168E-07,7.52130608816515E-06
0.733,-2.1434474264,-0.6848084155,0.1251423666,6.3263047422879E-07,7.52128562453436E-06
0.766,-1.9406424224,-0.6375272769,-0.0224014279,6.32629451047251E-07,7.52126652514562E-06
0.806,-2.0104279241,-0.3628723895,0.0156926882,6.32628427865711E-07,7.52124833525158E-06
0.832999936,-1.8693427247,-0.5949693254,0.0220676867,6.3262751837101E-07,7.5212315095996E-06
0.866,-2.2623062789,-0.7776148952,-1.65533645253334E-05,6.32626665719727E-07,7.52121604818967E-06
0.9,-1.8485059038,-0.4524186371,0.2245935113,6.32625813068444E-07,7.52120104152709E-06
0.932999936,-1.9786647454,-0.5772799365,0.0790175755,6.3262501726058E-07,7.52118694435922E-06
0.966,-1.572030041,-0.6533922943,0.0249023324,6.32624335139553E-07,7.52117421143339E-06
1,-2.2391899863,-0.4266724154,0.1329532887,6.32623596175108E-07,7.52116193325492E-06
1.032999936,-1.9544743077,-0.6229179069,-0.0015903446,6.32622970897501E-07,7.52115010982379E-06
1.066,-1.9423079272,-0.6462931363,0.0201479225,6.32622402463312E-07,7.52113965063472E-06
1.1,-2.1445443214,-0.4991966711,-0.0385487933,6.32621834029123E-07,7.52112919144565E-06
1.132999936,-2.3896531256,-0.3492198511,-0.0711316641,6.32621322438354E-07,7.52112009649863E-06
1.166,-1.687266262,-0.466251533,-0.1132348238,6.32620810847584E-07,7.52111145629897E-06
1.2,-2.2358315787,-0.4231481343,-0.1059684747,6.32620299256814E-07,7.5211028160993E-06
1.232999936,-1.8867168911,-0.6755751912,-0.0566996055,6.32619901352882E-07,7.52109554014169E-06
1.266,-2.080228352,-0.8666540105,-0.0150304017,6.3261950344895E-07,7.52108780943672E-06
1.3,-1.8881122828,-0.4088299682,-0.1696620787,6.32619105545018E-07,7.52108098822646E-06
1.332999936,-2.1835036456,-0.7167720822,-0.0070451382,6.32618764484505E-07,7.52107462176355E-06
1.366,-2.191230074,-0.6250782252,-0.2221962211,6.32618423423992E-07,7.52106871004798E-06
1.4,-2.0053100059,-0.6515391004,-0.0647860155,6.32618082363479E-07,7.52106279833242E-06
1.432999936,-1.9309173542,-0.2894688549,-0.21344033,6.32617798146384E-07,7.52105779611156E-06
1.466,-1.7635760073,-0.5513115702,-0.0029982197,6.3261751392929E-07,7.5210527938907E-06
1.5,-2.0804488979,-0.419679632,0.1127811302,6.32617229712196E-07,0.000007521
1.532999936,-1.8839296202,0.0674549337,0.0412451264,6.3261700233852E-07,0.000007521
1.566,-1.8628449697,-0.1219001639,-0.0616786227,6.32616774964845E-07,0.000007521
1.6,-1.8389539833,-0.5099859831,-0.0036896097,6.32616547591169E-07,0.000007521
1.632999936,-1.994731281,-0.4236983566,0.011438987,6.32616320217494E-07,0.000007521
1.666,-1.9904999548,-0.552623324,-0.0580233937,6.32616092843819E-07,0.000007521
