Time,X,Y,Theta,Linear Velocity,Angular Velocity
0,-2.0000050068,-0.5000000596,1.97701348435794E-07,-3.6819217257289E-06,-2.10257184107832E-07
0.033,-2.00000453,-0.499999702,6.80172290522959E-07,1.04288108104811E-06,1.61567841132637E-05
0.066,-2.00000453,-0.4999996722,8.81438743883331E-07,6.59598526908667E-07,8.02164777269354E-06
0.1,-2.00000453,-0.4999996424,1.01036629485967E-06,6.34641992292018E-07,7.55859991841135E-06
0.133,-2.00000453,-0.4999996424,1.13030196733451E-06,6.32823628166079E-07,7.52485402699676E-06
0.166,-2.00000453,-0.4999996126,1.24984916992208E-06,6.32676517398068E-07,7.52212417864939E-06
0.2,-2.00000453,-0.4999995828,0.000001373,6.32661851796001E-07,7.52185360397561E-06
0.233,-2.00000453,-0.4999995828,1.49250153635127E-06,6.32658100130357E-07,7.52178493712563E-06
0.266,-2.00000453,-0.499999553,0.000001612,6.32655257959414E-07,7.52173446016968E-06
0.3,-2.00000453,-0.499999553,1.73515128797058E-06,6.32652643162146E-07,7.52168625695049E-06
0.333,-2.00000453,-0.4999995232,1.85466552120875E-06,6.32650255738554E-07,7.5216426012048E-06
0.366,-2.00000453,-0.4999994934,1.97417964075688E-06,6.32647982001799E-07,7.52160167394322E-06
0.4,-2.00000453,-0.4999994934,2.09731561388847E-06,6.32645765108464E-07,7.5215621109237E-06
0.433,-2.00000453,-0.4999994636,2.21683018818786E-06,6.32643775588804E-07,7.52152618588298E-06
0.466,-2.00000453,-0.4999994338,2.33634453511343E-06,6.326419565994E-07,7.52149253457901E-06
0.5,-2.00000453,-0.4999994338,2.45948073561993E-06,6.32640137609997E-07,7.52145979276975E-06
0.533,-2.00000453,-0.499999404,0.000002579,6.3263848915085E-07,7.52143023419194E-06
0.566,-2.00000453,-0.4999993742,2.69851011159451E-06,6.3263695437854E-07,7.52140249460354E-06
0.6,-2.00000453,-0.4999993742,2.82164631210105E-06,6.3263547644965E-07,7.52137520976248E-06
0.633,-2.00000453,-0.4999993443,2.94116111377639E-06,6.32634112207597E-07,7.52135110815289E-06
0.666,-2.00000453,-0.4999993145,3.06067591545036E-06,6.32632861652382E-07,7.52132791603799E-06
0.7,-2.00000453,-0.4999993145,3.18381234333174E-06,6.32631611097168E-07,7.52130608816515E-06
0.733,-2.00000453,-0.4999992847,3.30332737238191E-06,6.3263047422879E-07,7.52128562453436E-06
0.766,-2.00000453,-0.4999992549,3.42284217405727E-06,6.32629451047251E-07,7.52126652514562E-06
0.806,-2.00000453,-0.4999992549,0.000003546,6.32628427865711E-07,7.52124833525158E-06
0.832999936,-2.00000453,-0.4999992251,3.66549385836372E-06,6.3262751837101E-07,7.5212315095996E-06
0.866,-2.00000453,-0.4999992251,0.000003785,6.32626665719727E-07,7.52121604818967E-06
0.9,-2.00000453,-0.4999991953,3.90814531529535E-06,6.32625813068444E-07,7.52120104152709E-06
0.932999936,-2.00000453,-0.4999991655,4.02766034434555E-06,6.3262501726058E-07,7.52118694435922E-06
0.966,-2.00000453,-0.4999991655,4.1471758281454E-06,6.32624335139553E-07,7.52117421143339E-06
1,-2.00000453,-0.4999991357,4.27031202865197E-06,6.32623596175108E-07,7.52116193325492E-06
1.032999936,-2.00000453,-0.4999991059,4.38982751245179E-06,6.32622970897501E-07,7.52115010982379E-06
