Time,X,Y,Theta,Linear Velocity,Angular Velocity
0,-2.0000050068,-0.5000000596,1.97701348435794E-07,-3.6819217257289E-06,-2.10257184107832E-07
0.033,-2.0000049724,-0.5000000596,7.30875224173496E-07,1.04288108104811E-06,1.61567841132637E-05
0.066,-2.0000049506,-0.5000000596,9.95589600672383E-07,6.59598526908667E-07,8.02164777269354E-06
0.1,-2.000004929,-0.5000000596,1.25258199789837E-06,6.34641992292018E-07,7.55859991841135E-06
0.133,-2.0000049081,-0.5000000596,1.50090218078926E-06,6.32823628166079E-07,7.52485402699676E-06
0.166,-2.0000048873,-0.5000000596,1.74913227868469E-06,6.32676517398068E-07,7.52212417864939E-06
0.2,-2.0000048658,-0.5000000596,2.00487530121986E-06,6.32661851796001E-07,7.52185360397561E-06
0.233,-2.0000048449,-0.5000000596,2.25309420414501E-06,6.32658100130357E-07,7.52178493712563E-06
0.266,-2.000004824,-0.5000000596,2.50131144133061E-06,6.32655257959414E-07,7.52173446016968E-06
0.3,-2.0000048025,-0.5000000596,0.000002757,6.32652643162146E-07,7.52168625695049E-06
0.333,-2.0000047816,-0.5000000596,3.00526297990668E-06,6.32650255738554E-07,7.5216426012048E-06
0.366,-2.0000047607,-0.5000000596,3.25347583514681E-06,6.32647982001799E-07,7.52160167394322E-06
0.4,-2.0000047392,-0.5000000596,3.50920894691821E-06,6.32645765108464E-07,7.5215621109237E-06
0.433,-2.0000047184,-0.5000000596,3.75741931105235E-06,6.32643775588804E-07,7.52152618588298E-06
0.466,-2.0000046975,-0.5000000596,4.00562856469346E-06,6.326419565994E-07,7.52149253457901E-06
0.5,-2.000004676,-0.5000000596,4.26135819764763E-06,6.32640137609997E-07,7.52145979276975E-06
0.533,-2.0000046551,-0.5000000596,4.50956539537597E-06,6.3263848915085E-07,7.52143023419194E-06
0.566,-2.0000046342,-0.5000000596,4.75777167769788E-06,6.3263695437854E-07,7.52140249460354E-06
0.6,-2.0000046127,-0.5000000596,5.01349843482981E-06,6.3263547644965E-07,7.52137520976248E-06
0.633,-2.0000045918,-0.5000000596,5.26170302139885E-06,6.32634112207597E-07,7.52135110815289E-06
0.666,-2.0000045709,-0.5000000596,5.50990684262811E-06,6.32632861652382E-07,7.52132791603799E-06
0.7,-2.0000045494,-0.5000000596,5.76563124962572E-06,6.32631611097168E-07,7.52130608816515E-06
0.733,-2.0000045286,-0.5000000596,6.01383367523535E-06,6.3263047422879E-07,7.52128562453436E-06
0.766,-2.0000045077,-0.5000000596,0.000006262,6.32629451047251E-07,7.52126652514562E-06
0.806,-2.0000044824,-0.5000000596,6.56288540397522E-06,6.32628427865711E-07,7.52124833525158E-06
0.832999936,-2.0000044653,-0.5000000596,0.000006766,6.3262751837101E-07,7.5212315095996E-06
0.866,-2.0000044444,-0.5000000596,7.01415878432368E-06,6.32626665719727E-07,7.52121604818967E-06
0.9,-2.0000044229,-0.5000000596,7.2698796197356E-06,6.32625813068444E-07,7.52120104152709E-06
0.932999936,-2.000004402,-0.5000000596,7.51807830754349E-06,6.3262501726058E-07,7.52118694435922E-06
0.966,-2.0000043812,-0.5000000596,7.76627753787595E-06,6.32624335139553E-07,7.52117421143339E-06
1,-2.0000043596,-0.5000000596,0.000008022,6.32623596175108E-07,7.52116193325492E-06
1.032999936,-2.0000043388,-0.5000000596,8.27019451587719E-06,6.32622970897501E-07,7.52115010982379E-06
1.066,-2.0000043179,-0.5000000596,8.51839260570107E-06,6.32622402463312E-07,7.52113965063472E-06
1.1,-2.0000042964,-0.5000000596,8.77411099821023E-06,6.32621834029123E-07,7.52112919144565E-06
1.132999936,-2.0000042755,-0.5000000596,9.022307480043E-06,6.32621322438354E-07,7.52112009649863E-06
1.166,-2.0000042546,-0.5000000596,9.27050463945199E-06,6.32620810847584E-07,7.52111145629897E-06
1.2,-2.0000042331,-0.5000000596,9.52622213519937E-06,6.32620299256814E-07,7.5211028160993E-06
1.232999936,-2.0000042122,-0.5000000596,9.77441780667393E-06,6.32619901352882E-07,7.52109554014169E-06
1.266,-2.0000041914,-0.5000000596,1.0022614185735E-05,6.3261950344895E-07,7.52108780943672E-06
1.3,-2.0000041699,-0.5000000596,1.02783309393347E-05,6.32619105545018E-07,7.52108098822646E-06
1.332999936,-2.000004149,-0.5000000596,1.05265259205041E-05,6.32618764484505E-07,7.52107462176355E-06
1.366,-2.0000041281,-0.5000000596,1.07747216692841E-05,6.32618423423992E-07,7.52106871004798E-06
1.4,-2.0000041066,-0.5000000596,1.10304378044274E-05,6.32618082363479E-07,7.52106279833242E-06
1.432999936,-2.0000040857,-0.5000000596,1.12786322303514E-05,6.32617798146384E-07,7.52105779611156E-06
1.466,-2.0000040648,-0.5000000596,1.15268274538971E-05,6.3261751392929E-07,7.5210527938907E-06
1.5,-2.0000040433,-0.5000000596,1.17825430788139E-05,6.32617229712196E-07,0.000007521
1.532999936,-2.0000040225,-0.5000000596,1.20307370395322E-05,6.3261700233852E-07,0.000007521
1.566,-2.0000040016,-0.5000000596,1.2278931827884E-05,6.32616774964845E-07,0.000007521
1.6,-2.0000039801,-0.5000000596,1.25346470353427E-05,6.32616547591169E-07,0.000007521
1.632999936,-2.0000039592,-0.5000000596,1.27828406058885E-05,6.32616320217494E-07,0.000007521
1.666,-2.0000039383,-0.5000000596,0.000013031,6.32616092843819E-07,0.000007521
1.7,-2.0000039168,-0.5000000596,1.32867499013873E-05,6.32615922313562E-07,0.000007521
1.732999936,-2.0000038959,-0.5000000596,1.35349431567939E-05,6.32615751783305E-07,0.000007521
1.766,-2.0000038751,-0.5000000596,1.37831372848512E-05,6.32615581253049E-07,0.000007521
1.8,-2.0000038536,-0.5000000596,1.40388518738535E-05,6.32615467566211E-07,0.000007521
1.832999936,-2.0000038327,-0.5000000596,0.000014287,6.32615297035954E-07,0.000007521
1.866,-2.0000038118,-0.5000000596,1.45352387620975E-05,6.32615183349117E-07,0.000007521
1.904,-2.0000037878,-0.5000000596,0.000014821,6.32615069662279E-07,0.000007521
1.932999936,-2.0000037694,-0.5000000596,1.50391459011942E-05,6.32614955975441E-07,0.000007521
1.965999872,-2.0000037485,-0.5000000596,1.52873386313686E-05,6.32614842288604E-07,0.000007521
2,-2.000003727,-0.5000000596,1.554305375014E-05,6.32614728601766E-07,0.000007521
2.032999936,-2.0000037062,-0.5000000596,1.57912463602613E-05,6.32614614914928E-07,0.000007521
2.066000128,-2.0000036853,-0.5000000596,1.60394408507391E-05,6.3261450122809E-07,0.000007521
2.1,-2.0000036638,-0.5000000596,1.62951538895198E-05,6.32614444384672E-07,0.000007521
2.132,-2.0000036435,-0.5000000596,1.65358258472464E-05,6.32614330697834E-07,0.000007521
2.164999936,-2.0000036226,-0.5000000596,0.000016784,6.32614273854415E-07,0.000007521
2.2,-2.0000036005,-0.5000000596,1.70472536168984E-05,6.32614160167577E-07,0.000007521
2.232999936,-2.0000035796,-0.5000000596,1.72954459569003E-05,6.32614103324158E-07,0.000007521
2.264999936,-2.0000035594,-0.5000000596,1.75361177545559E-05,6.3261404648074E-07,0.000007521
2.3,-2.0000035372,-0.5000000596,1.77993529827528E-05,6.32613989637321E-07,0.000007521
2.332999936,-2.0000035164,-0.5000000596,1.80475452327149E-05,6.32613932793902E-07,0.000007521
2.364999936,-2.0000034961,-0.5000000596,1.8288216943059E-05,6.32613875950483E-07,0.000007521
2.4,-2.000003474,-0.5000000596,1.8551452091675E-05,6.32613819107064E-07,0.000007521
2.432999936,-2.0000034531,-0.5000000596,1.87996442666039E-05,6.32613762263645E-07,0.000007521
2.466000128,-2.0000034322,-0.5000000596,1.90478383368927E-05,6.32613705420226E-07,0.000007521
2.5,-2.0000034107,-0.5000000596,1.93035509736783E-05,6.32613705420226E-07,0.000007521
2.532999936,-2.0000033898,-0.5000000596,1.95517430885808E-05,6.32613648576807E-07,0.000007521
2.565999872,-2.000003369,-0.5000000596,1.97999351734699E-05,6.32613591733389E-07,0.000007521
2.6,-2.0000033475,-0.5000000596,2.00556496737826E-05,6.3261353488997E-07,0.000007521
2.632999936,-2.0000033266,-0.5000000596,2.03038417286585E-05,6.3261353488997E-07,0.000007521
2.666000128,-2.0000033057,-0.5000000596,0.000020552,6.32613478046551E-07,0.000007521
2.7,-2.0000032842,-0.5000000596,2.08077482224562E-05,6.32613478046551E-07,0.000007521
2.732999936,-2.0000032633,-0.5000000596,2.10559402323122E-05,6.32613421203132E-07,0.000007521
2.765999872,-2.0000032424,-0.5000000596,2.13041322271615E-05,6.32613364359713E-07,0.000007521
2.8,-2.0000032209,-0.5000000596,2.15598466347054E-05,6.32613364359713E-07,0.000007521
2.832999936,-2.0000032001,-0.5000000596,0.000021808,6.32613307516294E-07,0.000007521
2.866000128,-2.0000031792,-0.5000000596,2.20562324897493E-05,6.32613307516294E-07,0.000007521
2.9,-2.0000031577,-0.5000000596,2.23119449409987E-05,6.32613250672875E-07,0.000007521
2.932999936,-2.0000031368,-0.5000000596,2.25601368908281E-05,6.32613250672875E-07,0.000007521
2.965999872,-2.0000031159,-0.5000000596,2.28083288256509E-05,6.32613250672875E-07,0.000007521
3,-2.0000030944,-0.5000000596,0.000023064,6.32613193829457E-07,0.000007521
3.032999936,-2.0000030735,-0.5000000596,2.33122350911651E-05,6.32613193829457E-07,0.000007521
3.066000128,-2.0000030527,-0.5000000596,2.35604289363527E-05,6.32613193829457E-07,0.000007521
3.1,-2.0000030312,-0.5000000596,2.3816141341218E-05,6.32613136986038E-07,0.000007521
3.132999936,-2.0000030103,-0.5000000596,2.40643332460276E-05,6.32613136986038E-07,0.000007521
3.165999872,-2.0000029894,-0.5000000596,2.43125251358305E-05,6.32613080142619E-07,0.000007521
3.2,-2.0000029679,-0.5000000596,2.45682394506056E-05,6.32613080142619E-07,0.000007521
3.232999936,-2.000002947,-0.5000000596,2.48164313404085E-05,6.32613080142619E-07,0.000007521
3.266000128,-2.0000029261,-0.5000000596,2.50646251405758E-05,6.32613080142619E-07,0.000007521
3.3,-2.0000029046,-0.5000000596,2.53203375145184E-05,6.326130232992E-07,0.000007521
3.332999936,-2.0000028838,-0.5000000596,2.55685293893147E-05,6.326130232992E-07,0.000007521
3.365999872,-2.0000028629,-0.5000000596,2.58167212491043E-05,6.326130232992E-07,0.000007521
3.4,-2.0000028414,-0.5000000596,2.60724355329565E-05,6.32612966455781E-07,0.000007521
3.432999936,-2.0000028205,-0.5000000596,2.63206273927461E-05,6.32612966455781E-07,0.000007521
3.466000128,-2.0000027996,-0.5000000596,2.65688211779067E-05,6.32612966455781E-07,0.000007521
3.5,-2.0000027781,-0.5000000596,2.68245335363879E-05,6.32612966455781E-07,0.000007521
3.532,-2.0000027579,-0.5000000596,2.7065204897486E-05,6.32612966455781E-07,0.000007521
3.565999872,-2.0000027364,-0.5000000596,2.73209172405059E-05,6.32612909612362E-07,0.000007521
3.6,-2.0000027148,-0.5000000596,2.75766315088966E-05,6.32612909612362E-07,0.000007521
3.632999936,-2.000002694,-0.5000000596,2.78248233536796E-05,6.32612909612362E-07,0.000007521
3.666000128,-2.0000026731,-0.5000000596,0.000028073,6.32612909612362E-07,0.000007521
3.7,-2.0000026516,-0.5000000596,2.83287294668533E-05,6.32612852768943E-07,0.000007521
3.732999936,-2.0000026307,-0.5000000596,2.85769213116363E-05,6.32612852768943E-07,0.000007521
3.765999872,-2.0000026098,-0.5000000596,2.88251131564193E-05,6.32612852768943E-07,0.000007521
3.8,-2.0000025883,-0.5000000596,2.908082742481E-05,6.32612852768943E-07,0.000007521
3.832999936,-2.0000025675,-0.5000000596,0.000029329,6.32612852768943E-07,0.000007521
3.866000128,-2.0000025466,-0.5000000596,2.95772130397468E-05,6.32612852768943E-07,0.000007521
3.899000064,-2.0000025257,-0.5000000596,2.98254048695232E-05,6.32612795925525E-07,0.000007521
3.932999936,-2.0000025042,-0.5000000596,3.00811171970818E-05,6.32612795925525E-07,0.000007521
3.965999872,-2.0000024833,-0.5000000596,3.03293090418648E-05,6.32612795925525E-07,0.000007521
4,-2.0000024618,-0.5000000596,0.000030585,6.32612795925525E-07,0.000007521
4.032999936,-2.0000024409,-0.5000000596,3.08332151245704E-05,6.32612795925525E-07,0.000007521
4.066000128,-2.0000024201,-0.5000000596,3.10814088797174E-05,6.32612739082106E-07,0.000007521
4.1,-2.0000023985,-0.5000000596,3.1337121207276E-05,6.32612739082106E-07,0.000007521
4.132999936,-2.0000023777,-0.5000000596,3.15853130370524E-05,6.32612739082106E-07,0.000007521
4.165999872,-2.0000023568,-0.5000000596,3.18335048668288E-05,6.32612739082106E-07,0.000007521
4.200000256,-2.0000023353,-0.5000000596,3.20892210451286E-05,6.32612739082106E-07,0.000007521
4.233000192,-2.0000023144,-0.5000000596,3.2337412874905E-05,6.32612739082106E-07,0.000007521
4.266000128,-2.0000022935,-0.5000000596,3.25856047046814E-05,6.32612739082106E-07,0.000007521
4.299000064,-2.0000022727,-0.5000000596,3.28337965494645E-05,6.32612682238687E-07,0.000007521
4.332999936,-2.0000022511,-0.5000000596,3.3089508877023E-05,6.32612682238687E-07,0.000007521
4.365999872,-2.0000022303,-0.5000000596,3.33377007067994E-05,6.32612682238687E-07,0.000007521
4.399999744,-2.0000022088,-0.5000000596,3.35934130343579E-05,6.32612682238687E-07,0.000007521
4.435000064,-1.9998270227,-0.5000000566,3.37327656610001E-05,0.0050052716,3.98146721636294E-06
4.466000128,-1.9995168584,-0.5000000514,3.3868602811396E-05,0.0100052785,4.38183451478835E-06
4.5,-1.9991766845,-0.5000000455,3.41414735595648E-05,0.0100051509,8.02564045443432E-06
4.532999936,-1.998846515,-0.5000000398,3.44144148094811E-05,0.0100051565,0.000008271
4.565999872,-1.9985163455,-0.5000000341,3.46882322366995E-05,0.0100051565,8.2975138866459E-06
4.600000256,-1.9981761663,-0.5000000281,3.49707067898441E-05,0.0100051574,0.000008308
4.633000192,-1.9978459967,-0.5000000223,3.52451658106701E-05,0.0100051574,0.000008317
4.666000128,-1.9975158272,-0.5000000164,3.55199187514194E-05,0.0100051574,8.32586283650016E-06
4.7,-1.9971756531,-0.5000000102,3.58033094033002E-05,0.0100051574,8.33505055197747E-06
4.732999936,-1.9968454835,-0.5000000042,3.60786603884067E-05,0.0100051584,0.000008344
4.765999872,-1.9965153139,-0.4999999982,3.63543067640866E-05,0.0100051584,8.35293667478254E-06
4.798999808,-1.9961851443,-0.4999999921,3.66302581045719E-05,0.0100051584,8.36217805044726E-06
4.833000192,-1.9958449651,-0.4999999858,3.69148809211975E-05,0.0100051584,8.37116476759547E-06
4.866000128,-1.9955147955,-0.4999999796,3.71914259541164E-05,0.0100051584,8.38016876514303E-06
4.9,-1.9951746214,-0.4999999732,3.74766666494989E-05,0.0100051593,8.38946380099515E-06
4.932999936,-1.9948444518,-0.4999999669,3.7753816689853E-05,0.0100051593,8.39850235934136E-06
4.963000064,-1.9945442957,-0.4999999611,0.000038006,0.0100051593,8.40755910758162E-06
5.000000256,-1.9941741029,-0.4999999539,3.83174717776797E-05,0.0100051593,8.41690871311585E-06
5.033000192,-1.9938439332,-0.4999999475,3.85955292691601E-05,0.0100051602,0.000008426
5.066000128,-1.9935137636,-0.499999941,3.88738873735223E-05,0.0100051602,8.43511043058243E-06
5.1,-1.9931735894,-0.4999999343,0.000039161,0.0100051602,8.44451460579876E-06
5.132999936,-1.9928434198,-0.4999999277,0.00003944,0.0100051602,8.45365957502509E-06
5.163000064,-1.9925432637,-0.4999999217,3.96938557794288E-05,0.0100051612,8.46282273414545E-06
5.198999808,-1.9921830804,-0.4999999144,3.99988557765119E-05,0.0100051612,8.47228238853859E-06
5.233000192,-1.9918429011,-0.4999999074,4.0287229388011E-05,0.0100051612,8.48148101795232E-06
5.266000128,-1.9915127315,-0.4999999006,4.05674219032492E-05,0.0100051612,8.49069874675479E-06
5.3,-1.9911725572,-0.4999998936,4.08564280562302E-05,0.0100051621,8.50021297083003E-06
5.332999936,-1.9908423875,-0.4999998867,4.11372398952319E-05,0.0100051621,8.50946616992587E-06
5.365999872,-1.9905122178,-0.4999998797,4.14183576894769E-05,0.0100051621,8.51873755891575E-06
5.400000256,-1.9901720385,-0.4999998725,4.17083234421838E-05,0.0100051621,8.5283081716625E-06
5.433000192,-1.9898418687,-0.4999998655,4.19900642218109E-05,0.010005163,8.53761594044045E-06
5.466000128,-1.989511699,-0.4999998584,4.22721127574773E-05,0.010005163,8.54694189911243E-06
5.5,-1.9891715247,-0.499999851,0.000042563,0.010005163,8.55656981002539E-06
5.532999936,-1.988841355,-0.4999998438,4.28457102484576E-05,0.010005164,8.56593214848544E-06
5.565999872,-1.9885111852,-0.4999998366,4.31286950179733E-05,0.010005164,8.57531267683953E-06
5.599999744,-1.9881710109,-0.4999998291,4.34205838162921E-05,0.010005164,0.000008585
5.633000192,-1.9876758291,-0.499999818,4.35997644793823E-05,0.0150053045,5.4296433518175E-06
5.666000128,-1.987015655,-0.4999998032,4.37945754628916E-05,0.0200053155,5.90337458561407E-06
5.7,-1.9863354812,-0.4999997877,4.41206064510018E-05,0.020005187,9.58918280957732E-06
5.732999936,-1.9856753111,-0.4999997726,4.44456790048423E-05,0.0200051945,9.85070255410392E-06
5.765999872,-1.9850151409,-0.4999997573,4.47721288374899E-05,0.0200051945,9.89243835647358E-06
5.801000192,-1.9843149527,-0.499999741,4.51192834242707E-05,0.0200051963,9.9186117950012E-06
5.833000192,-1.9836747864,-0.4999997259,4.54374566269567E-05,0.0200051963,9.94291258393787E-06
5.867000064,-1.9829946123,-0.4999997098,4.57763409769036E-05,0.0200051963,9.96722428681096E-06
5.9,-1.982334442,-0.499999694,4.61060884272176E-05,0.0200051982,9.99236635834677E-06
5.932999936,-1.9816742718,-0.499999678,4.64366443449034E-05,0.0200051982,1.00168654171284E-05
5.965999872,-1.9810141014,-0.499999662,0.000046768,0.0200052001,1.00414617918432E-05
5.999999744,-1.9803339272,-0.4999996453,4.71102854196251E-05,0.0200052001,1.00669049061253E-05
6.033000192,-1.9796737467,-0.4999996289,4.74433159958654E-05,0.0200052001,1.00916986411903E-05
6.066000128,-1.9790135763,-0.4999996125,4.77771628082459E-05,0.0200052019,1.01165896921884E-05
6.1,-1.978333402,-0.4999995953,0.000048122,0.0200052019,1.01423383966903E-05
6.132999936,-1.9776732315,-0.4999995786,4.8457525569517E-05,0.0200052038,1.01674304460175E-05
6.165999872,-1.9770130611,-0.4999995617,4.87938814009748E-05,0.0200052038,1.01926207207725E-05
6.200000256,-1.9763328764,-0.4999995441,4.91413204300887E-05,0.0200052056,1.02186795629677E-05
6.233000192,-1.9756727059,-0.499999527,4.94793742020977E-05,0.0200052056,1.02440735645359E-05
6.267000064,-1.9749925315,-0.4999995091,4.98285381863507E-05,0.0200052056,1.02695676105213E-05
6.3,-1.9743323609,-0.4999994917,5.01683035849606E-05,0.0200052075,1.02959411378833E-05
