Time,LM_1_Range,LM_1_Bearing,LM_2_Range,LM_2_Bearing,LM_3_Range,LM_3_Bearing,LM_4_Range,LM_4_Bearing
0,3.2433478633,1.4160370498,0.78623512,0.6542114581,3.4739598579,0.3303892063,nan,nan
0.033,3.1454039144,1.3937214477,0.4744619621,0.7805223836,3.4924830736,0.1769496045,nan,nan
0.066,2.895266667,1.2140033136,0.9755859555,0.7157627201,nan,nan,nan,nan
0.1,2.917952934,1.4095064753,0.4921721598,0.953963155,nan,nan,nan,nan
0.133,3.2963310542,1.5254267574,0.9710620743,0.7336672036,3.4195563392,0.28265363,nan,nan
0.166,2.8767833937,1.3406268571,0.6378845658,0.7270635958,nan,nan,nan,nan
0.2,3.1932558753,1.3055681307,0.6969273142,0.6137262819,3.4405338445,0.0212793787,nan,nan
0.233,2.9736227624,1.293938579,0.6811259175,0.7163161407,3.4107123406,0.3100670715,nan,nan
0.266,3.4239402813,1.3590574828,0.5272771359,0.8340628573,3.4257300084,0.2215658407,nan,nan
0.3,3.1282198213,1.3039287954,1.1642983231,0.7930629248,nan,nan,nan,nan
0.333,3.4454432794,1.446839382,0.9856140893,0.9442617306,3.2814735168,0.2724659348,nan,nan
0.366,3.1952109219,1.3759767532,0.6892603561,0.7666467742,nan,nan,nan,nan
0.4,2.8273176543,1.3693353184,0.6943202623,0.6821532817,3.4207174939,0.1444069102,nan,nan
0.433,2.9237907883,1.4564755247,0.6455648758,0.6832897911,3.4415603565,0.0357245298,nan,nan
0.466,2.6742387425,1.567455574,0.442780129,0.8261949067,3.3769771229,0.2995274561,nan,nan
0.5,3.0732200557,1.3185798952,0.592903132,0.9086634137,3.3392156029,0.0228501673,nan,nan
0.533,3.1331540724,1.3559717981,0.8769623201,0.7805495496,nan,nan,nan,nan
0.566,3.0662654587,1.3744719864,0.6798757993,0.7321084895,3.3177543091,0.0743126893,nan,nan
0.6,2.7162296307,1.2887669273,0.7611479391,0.6379751728,3.3935871895,0.215666468,nan,nan
0.633,3.1200618806,1.4116936184,0.541139409,1.064816759,nan,nan,nan,nan
0.666,3.2258084984,1.2826758467,0.5715074136,0.8538695616,nan,nan,nan,nan
0.7,3.3942372587,1.3204040913,0.8803351688,0.9698167508,nan,nan,nan,nan
0.733,2.4582709806,1.3373650082,0.9692653749,0.954592509,nan,nan,nan,nan
0.766,2.9204740632,1.1952265853,1.1122052866,0.8337030384,3.3069860904,0.2530111691,nan,nan
0.806,3.0322492262,1.2615316452,0.8880647017,0.967576915,3.4790178504,0.2115896017,nan,nan
0.832999936,3.0295892676,1.5936796792,0.7077725026,0.8989772684,nan,nan,nan,nan
0.866,3.080938499,1.2916360523,0.6624815527,0.7200322798,nan,nan,nan,nan
0.9,3.1673236771,1.3767789727,0.5642852486,0.7854832986,nan,nan,nan,nan
0.932999936,3.2654010373,1.4346153565,1.153454028,0.7718110268,nan,nan,nan,nan
0.966,3.433581167,1.3243739426,0.8150510791,0.7713419248,3.1353830493,0.1927146421,nan,nan
1,2.8249355652,1.5098591068,0.6454035267,0.7185250792,3.3967185232,0.2155016895,nan,nan
1.032999936,3.0492161904,1.4858326032,0.9457134161,0.9190350584,nan,nan,nan,nan
1.066,2.9760173872,1.3895617742,0.5154720978,0.841849514,nan,nan,nan,nan
1.1,3.3465277688,1.3928255056,0.7568385635,0.8598837113,3.3043433568,0.0822113284,nan,nan
1.132999936,2.9804450149,1.3072201707,0.7506444983,0.7402628944,3.0277464029,0.175365758,nan,nan
1.166,3.3579941883,1.43050302,0.756423149,0.7842471783,nan,nan,nan,nan
1.2,3.3933678853,1.336741049,0.5699189381,0.9841665143,nan,nan,nan,nan
1.232999936,3.0496939484,1.5087456057,0.445759432,0.7083542704,nan,nan,nan,nan
1.266,3.2632750349,1.2835424383,0.6146650575,0.76795566,nan,nan,nan,nan
1.3,2.9873036994,1.4001744287,0.7715126124,0.9559031684,nan,nan,nan,nan
1.332999936,2.7063748142,1.3881449274,0.6627664379,0.5935097227,nan,nan,nan,nan
1.366,2.9760126047,1.3837008104,0.6530734269,0.7202963731,nan,nan,nan,nan
1.4,2.7338060524,1.3469939995,0.4295805434,0.8089520256,nan,nan,nan,nan
1.432999936,3.2803753164,1.4650688181,0.5970910542,0.9463243891,nan,nan,nan,nan
1.466,3.3410262849,1.3311778298,0.7210014817,0.645802944,nan,nan,nan,nan
1.5,3.2893748507,1.3307233548,0.8078131733,0.8009407698,3.360913053,0.1103260751,nan,nan
1.532999936,2.9996112434,1.492036263,0.4830529755,0.7544458434,nan,nan,nan,nan
1.566,3.0156784123,1.404408546,0.6717924987,0.9520892304,3.4920087087,0.1954654365,nan,nan
1.6,2.8403316013,1.3599608038,0.806673176,0.6175065124,nan,nan,nan,nan
1.632999936,3.397805789,1.4727787064,0.7338460621,0.8316123804,nan,nan,nan,nan
1.666,2.973844145,1.3996804099,0.4289353044,0.795131984,nan,nan,nan,nan
