Time,Range,Bearing,Range,Bearing,Range,Bearing,Range,Bearing
0,0.9782512153,-2.4531729188,3.9593160945,-0.1052666325,nan,nan,3.0689635595,1.7681098258
0.033,0.6356566763,-2.2707434376,nan,nan,nan,nan,3.429236699,1.7098480576
0.066,0.5618794409,-2.2981141017,nan,nan,nan,nan,3.1146415061,1.6301428094
0.1,0.9253377454,-2.3298059655,3.946071365,0.0074999069,nan,nan,2.8509652419,1.6385817921
0.133,0.6229995484,-2.2750896396,4.4459794608,-0.0132609265,nan,nan,3.2614541311,1.5318136575
0.166,0.7976785363,-2.2390975277,3.9685625936,-0.1667026923,nan,nan,2.9947922516,1.6719714334
0.2,1.2219832221,-2.2656101388,nan,nan,nan,nan,2.990433537,1.72062661
0.233,0.8785465747,-2.3499747713,nan,nan,nan,nan,3.3974277825,1.7341301847
0.266,0.3349124067,-2.5263470101,4.4266402515,0.1035457652,nan,nan,3.2052191729,1.7514648181
0.3,0.9681217999,-2.3918802805,4.2856616739,-0.0735914956,nan,nan,3.550490856,1.7904438753
0.333,0.4671679106,-2.3466954477,4.3765975705,-0.1447513168,nan,nan,2.991405933,1.8451696534
0.366,0.7262772629,-2.5204451418,nan,nan,nan,nan,2.8881623609,1.7712527505
0.4,0.557399109,-2.5021525294,nan,nan,nan,nan,3.0192864812,1.7938376251
0.433,0.3226515281,-2.2377764174,nan,nan,nan,nan,3.2231454889,1.7873898861
0.466,0.8058926342,-2.3805072397,4.0030281444,-0.0467457424,nan,nan,3.2671398981,1.8011254997
0.5,0.3786560426,-2.4503156614,nan,nan,nan,nan,3.6900008202,1.7959474809
0.533,0.9758765026,-2.276438149,4.3966950846,-0.1846394019,nan,nan,2.8168541146,1.8004032213
0.566,1.1569995972,-2.1859291291,4.1258974822,-0.0525757119,nan,nan,3.0975246484,1.8165064809
0.6,1.3914974782,-2.3882264914,4.2175047468,-0.0692436411,nan,nan,2.8603603632,1.5724022804
0.633,0.2231916703,-2.3942160908,4.3620649117,-0.0477501524,nan,nan,3.0424110321,1.7656508973
0.666,1.0380808449,-2.4565801314,4.4540000221,0.0198607021,nan,nan,3.5491720293,1.9784262585
0.7,0.21375285,-2.2832531699,nan,nan,nan,nan,3.0712687326,1.704668475
0.733,0.8424959219,-2.413857155,nan,nan,nan,nan,3.3383272431,1.8221433444
0.766,1.317906934,-2.4259931316,nan,nan,nan,nan,3.0942603608,1.7738078516
0.806,0.7778177332,-2.354363566,4.1785582493,-0.1274628026,nan,nan,2.8945121227,1.6206470725
0.832999936,0.4981833897,-2.2548964569,4.274017451,-0.1787925692,nan,nan,3.3329565414,1.833006771
0.866,0.5229452885,-2.2313170402,4.2120797307,0.0213965543,nan,nan,3.1785305892,1.9127759258
0.9,0.4855216902,-2.2865819578,nan,nan,nan,nan,3.2582880313,1.7250423609
0.932999936,0.4180934089,-2.4033399422,4.4869124919,-0.2228107149,nan,nan,2.9772654068,1.9283706283
0.966,0.3086642787,-2.2547209007,nan,nan,nan,nan,3.3154528523,1.684154335
1,0.2298626342,-2.3113554034,4.3832491709,-0.0356530927,nan,nan,3.4615467791,1.7732388924
1.032999936,0.5887363449,-2.2383320831,nan,nan,nan,nan,2.9997011136,1.6507305658
1.066,0.9780486253,-2.5667205808,nan,nan,nan,nan,3.0543592697,1.7946743422
1.1,0.4680326805,-2.2354305478,nan,nan,nan,nan,3.070305499,1.8430701534
1.132999936,1.1805669955,-2.2223938458,4.1347112482,0.0152153487,nan,nan,3.3440036502,1.8202396032
1.166,0.7324248823,-2.5612732995,4.1923855011,-0.0266995094,nan,nan,3.5247212078,1.7974520817
1.2,0.754422186,-2.300275482,nan,nan,nan,nan,2.7177723849,1.661566496
1.232999936,0.5418223631,-2.3923579089,nan,nan,nan,nan,3.0426785224,1.654748204
1.266,0.7348586026,-2.367707753,4.2434162183,-0.1139138168,nan,nan,3.1974263017,1.8036854608
1.3,1.0701462747,-2.4414268045,nan,nan,nan,nan,2.4976396717,1.8145504491
1.332999936,0.8066029817,-2.312721544,4.3049365482,-0.1036299135,nan,nan,3.1110222266,1.7366736434
