Time,X,Y,Theta,Linear Velocity,Angular Velocity
0,-2.0000050068,-0.5000000596,1.97701348435794E-07,-3.6819217257289E-06,-2.10257184107832E-07
0.033,-2.0000051283,-0.5000000596,1.90762861360235E-07,1.04288108104811E-06,1.61567841132637E-05
0.066,-2.0000050939,-0.5000000596,7.23936737097938E-07,6.59598526908667E-07,8.02164777269354E-06
0.1,-2.0000050715,-0.5000000596,9.96672761369518E-07,6.34641992292018E-07,7.55859991841135E-06
0.133,-2.0000050505,-0.5000000596,1.24610655867709E-06,6.32823628166079E-07,7.52485402699676E-06
0.166,-2.0000050296,-0.5000000596,1.49442674156799E-06,6.32676517398068E-07,7.52212417864939E-06
0.2,-2.0000050081,-0.5000000596,1.75017896364207E-06,6.32661851796001E-07,7.52185360397561E-06
0.233,-2.0000049872,-0.5000000596,1.99840013257326E-06,6.32658100130357E-07,7.52178493712563E-06
0.266,-2.0000049664,-0.5000000596,2.24661903549841E-06,6.32655257959414E-07,7.52173446016968E-06
0.3,-2.0000049448,-0.5000000596,2.50235800714417E-06,6.32652643162146E-07,7.52168625695049E-06
0.333,-2.000004924,-0.5000000596,2.75057365362354E-06,6.32650255738554E-07,7.5216426012048E-06
0.366,-2.0000049031,-0.5000000596,2.9987878594633E-06,6.32647982001799E-07,7.52160167394322E-06
0.4,-2.0000048816,-0.5000000596,3.25452231637737E-06,6.32645765108464E-07,7.5215621109237E-06
0.433,-2.0000048607,-0.5000000596,3.50273386603785E-06,6.32643775588804E-07,7.52152618588298E-06
0.466,-2.0000048398,-0.5000000596,3.75094423017199E-06,6.326419565994E-07,7.52149253457901E-06
0.5,-2.0000048183,-0.5000000596,4.00667497634768E-06,6.32640137609997E-07,7.52145979276975E-06
0.533,-2.0000047974,-0.5000000596,4.25488314950908E-06,6.3263848915085E-07,7.52143023419194E-06
0.566,-2.0000047766,-0.5000000596,4.50309034723741E-06,6.3263695437854E-07,7.52140249460354E-06
0.6,-2.0000047551,-0.5000000596,4.75881803205393E-06,6.3263547644965E-07,7.52137520976248E-06
0.633,-2.0000047342,-0.5000000596,0.000005007,6.32634112207597E-07,7.52135110815289E-06
0.666,-2.0000047133,-0.5000000596,5.25522800054514E-06,6.32632861652382E-07,7.52132791603799E-06
0.7,-2.0000046918,-0.5000000596,0.000005511,6.32631611097168E-07,7.52130608816515E-06
0.733,-2.0000046709,-0.5000000596,5.75915625059988E-06,6.3263047422879E-07,7.52128562453436E-06
0.766,-2.00000465,-0.5000000596,6.00735867620951E-06,6.32629451047251E-07,7.52126652514562E-06
0.806,-2.0000046247,-0.5000000596,6.30820933721534E-06,6.32628427865711E-07,7.52124833525158E-06
0.832999936,-2.0000046077,-0.5000000596,6.51128256090724E-06,6.3262751837101E-07,7.5212315095996E-06
0.866,-2.0000045868,-0.5000000596,6.75948368208284E-06,6.32626665719727E-07,7.52121604818967E-06
0.9,-2.0000045653,-0.5000000596,7.01520502772129E-06,6.32625813068444E-07,7.52120104152709E-06
0.932999936,-2.0000045444,-0.5000000596,7.26340418073482E-06,6.3262501726058E-07,7.52118694435922E-06
0.966,-2.0000045235,-0.5000000596,7.51160383125464E-06,6.32624335139553E-07,7.52117421143339E-06
1,-2.000004502,-0.5000000596,7.76732375444337E-06,6.32623596175108E-07,7.52116193325492E-06
1.032999936,-2.0000044811,-0.5000000596,8.01552161688642E-06,6.32622970897501E-07,7.52115010982379E-06
1.066,-2.0000044603,-0.5000000596,8.26372005186421E-06,6.32622402463312E-07,7.52113965063472E-06
1.1,-2.0000044387,-0.5000000596,8.51943879998579E-06,6.32621834029123E-07,7.52112919144565E-06
1.132999936,-2.0000044179,-0.5000000596,8.76763558195123E-06,6.32621322438354E-07,7.52112009649863E-06
1.166,-2.000004397,-0.5000000596,9.01583302648737E-06,6.32620810847584E-07,7.52111145629897E-06
1.2,-2.0000043755,-0.5000000596,9.27155081600154E-06,6.32620299256814E-07,7.5211028160993E-06
1.232999936,-2.0000043546,-0.5000000596,9.51974672758223E-06,6.32619901352882E-07,7.52109554014169E-06
1.266,-2.0000043337,-0.5000000596,9.76794336175702E-06,6.3261950344895E-07,7.52108780943672E-06
1.3,-2.0000043122,-0.5000000596,1.00236603472779E-05,6.32619105545018E-07,7.52108098822646E-06
1.332999936,-2.0000042913,-0.5000000596,1.02718555385402E-05,6.32618764484505E-07,7.52107462176355E-06
1.366,-2.0000042705,-0.5000000596,1.05200514824071E-05,6.32618423423992E-07,7.52106871004798E-06
1.4,-2.000004249,-0.5000000596,1.07757678185488E-05,6.32618082363479E-07,7.52106279833242E-06
1.432999936,-2.0000042281,-0.5000000596,0.000011024,6.32617798146384E-07,7.52105779611156E-06
1.466,-2.0000042072,-0.5000000596,1.12721577981651E-05,6.3261751392929E-07,7.5210527938907E-06
1.5,-2.0000041857,-0.5000000596,1.15278735931574E-05,6.32617229712196E-07,0.000007521
1.532999936,-2.0000041648,-0.5000000596,1.17760676889354E-05,6.3261700233852E-07,0.000007521
1.566,-2.0000041439,-0.5000000596,1.20242626123474E-05,6.32616774964845E-07,0.000007521
1.6,-2.0000041224,-0.5000000596,0.00001228,6.32616547591169E-07,0.000007521
1.632999936,-2.0000041016,-0.5000000596,1.25281716495577E-05,6.32616320217494E-07,0.000007521
1.666,-2.0000040807,-0.5000000596,1.27763661827957E-05,6.32616092843819E-07,0.000007521
1.7,-2.0000040592,-0.5000000596,1.30320811583332E-05,6.32615922313562E-07,0.000007521
1.732999936,-2.0000040383,-0.5000000596,1.32802745187862E-05,6.32615751783305E-07,0.000007521
1.766,-2.0000040174,-0.5000000596,1.35284687368837E-05,6.32615581253049E-07,0.000007521
1.8,-2.0000039959,-0.5000000596,1.3784183403193E-05,6.32615467566211E-07,0.000007521
1.832999936,-2.000003975,-0.5000000596,1.40323764935266E-05,6.32615297035954E-07,0.000007521
1.866,-2.0000039542,-0.5000000596,1.42805704565103E-05,6.32615183349117E-07,0.000007521
1.904,-2.0000039301,-0.5000000596,1.45663689247226E-05,6.32615069662279E-07,0.000007521
1.932999936,-2.0000039118,-0.5000000596,1.47844777347595E-05,6.32614955975441E-07,0.000007521
1.965999872,-2.0000038909,-0.5000000596,1.50326705249604E-05,6.32614842288604E-07,0.000007521
2,-2.0000038694,-0.5000000596,1.52883857055777E-05,6.32614728601766E-07,0.000007521
2.032999936,-2.0000038485,-0.5000000596,1.55365783757256E-05,6.32614614914928E-07,0.000007521
2.066000128,-2.0000038276,-0.5000000596,1.57847729112236E-05,6.3261450122809E-07,0.000007521
2.1,-2.0000038061,-0.5000000596,1.60404859963884E-05,6.32614444384672E-07,0.000007521
2.132,-2.0000037859,-0.5000000596,1.62811579977708E-05,6.32614330697834E-07,0.000007521
2.164999936,-2.000003765,-0.5000000596,1.65293504728324E-05,6.32614273854415E-07,0.000007521
2.2,-2.0000037429,-0.5000000596,1.67925858601912E-05,6.32614160167577E-07,0.000007521
2.232999936,-2.000003722,-0.5000000596,1.7040778245213E-05,6.32614103324158E-07,0.000007521
2.264999936,-2.0000037017,-0.5000000596,1.72814500719724E-05,6.3261404648074E-07,0.000007521
2.3,-2.0000036796,-0.5000000596,1.75446853320017E-05,6.32613989637321E-07,0.000007521
2.332999936,-2.0000036587,-0.5000000596,1.77928776119771E-05,6.32613932793902E-07,0.000007521
2.364999936,-2.0000036385,-0.5000000596,1.8033549351425E-05,6.32613875950483E-07,0.000007521
2.4,-2.0000036163,-0.5000000596,1.82967845159572E-05,6.32613819107064E-07,0.000007521
2.432999936,-2.0000035955,-0.5000000596,0.000018545,6.32613762263645E-07,0.000007521
2.466000128,-2.0000035746,-0.5000000596,1.87931708212017E-05,6.32613705420226E-07,0.000007521
2.5,-2.0000035531,-0.5000000596,1.90488834734486E-05,6.32613705420226E-07,0.000007521
2.532999936,-2.0000035322,-0.5000000596,1.92970756033577E-05,6.32613648576807E-07,0.000007521
2.565999872,-2.0000035113,-0.5000000596,1.95452677182601E-05,6.32613591733389E-07,0.000007521
2.6,-2.0000034898,-0.5000000596,0.000019801,6.3261353488997E-07,0.000007521
2.632999936,-2.0000034689,-0.5000000596,2.00491743039168E-05,6.3261353488997E-07,0.000007521
2.666000128,-2.0000034481,-0.5000000596,2.02973682841651E-05,6.32613478046551E-07,0.000007521
2.7,-2.0000034266,-0.5000000596,2.05530808281826E-05,6.32613478046551E-07,0.000007521
2.732999936,-2.0000034057,-0.5000000596,2.08012728530452E-05,6.32613421203132E-07,0.000007521
2.765999872,-2.0000033848,-0.5000000596,2.10494648629012E-05,6.32613364359713E-07,0.000007521
2.8,-2.0000033633,-0.5000000596,2.13051792859065E-05,6.32613364359713E-07,0.000007521
2.832999936,-2.0000033424,-0.5000000596,2.15533712657493E-05,6.32613307516294E-07,0.000007521
2.866000128,-2.0000033215,-0.5000000596,2.18015651559571E-05,6.32613307516294E-07,0.000007521
2.9,-2.0000033,-0.5000000596,2.20572776226678E-05,6.32613250672875E-07,0.000007521
2.932999936,-2.0000032792,-0.5000000596,2.23054695724972E-05,6.32613250672875E-07,0.000007521
2.965999872,-2.0000032583,-0.5000000596,2.25536615223267E-05,6.32613250672875E-07,0.000007521
3,-2.0000032368,-0.5000000596,2.28093758834862E-05,6.32613193829457E-07,0.000007521
3.032999936,-2.0000032159,-0.5000000596,2.30575678033024E-05,6.32613193829457E-07,0.000007521
3.066000128,-2.000003195,-0.5000000596,2.33057616484899E-05,6.32613193829457E-07,0.000007521
3.1,-2.0000031735,-0.5000000596,2.35614740688166E-05,6.32613136986038E-07,0.000007521
3.132999936,-2.0000031526,-0.5000000596,2.38096659736261E-05,6.32613136986038E-07,0.000007521
3.165999872,-2.0000031318,-0.5000000596,2.40578578784357E-05,6.32613080142619E-07,0.000007521
3.2,-2.0000031102,-0.5000000596,2.43135721932108E-05,6.32613080142619E-07,0.000007521
3.232999936,-2.0000030894,-0.5000000596,2.45617640830137E-05,6.32613080142619E-07,0.000007521
3.266000128,-2.0000030685,-0.5000000596,0.00002481,6.32613080142619E-07,0.000007521
3.3,-2.000003047,-0.5000000596,2.50656702721303E-05,6.326130232992E-07,0.000007521
3.332999936,-2.0000030261,-0.5000000596,2.53138621469266E-05,6.326130232992E-07,0.000007521
3.365999872,-2.0000030052,-0.5000000596,2.55620540217229E-05,6.326130232992E-07,0.000007521
3.4,-2.0000029837,-0.5000000596,2.58177683055751E-05,6.32612966455781E-07,0.000007521
3.432999936,-2.0000029629,-0.5000000596,0.000026066,6.32612966455781E-07,0.000007521
3.466000128,-2.000002942,-0.5000000596,2.63141539505253E-05,6.32612966455781E-07,0.000007521
3.5,-2.0000029205,-0.5000000596,2.65698663090065E-05,6.32612966455781E-07,0.000007521
3.532,-2.0000029002,-0.5000000596,2.68105376701046E-05,6.32612966455781E-07,0.000007521
3.565999872,-2.0000028787,-0.5000000596,2.70662500285858E-05,6.32612909612362E-07,0.000007521
3.6,-2.0000028572,-0.5000000596,0.000027322,6.32612909612362E-07,0.000007521
3.632999936,-2.0000028363,-0.5000000596,2.75701561417595E-05,6.32612909612362E-07,0.000007521
3.666000128,-2.0000028155,-0.5000000596,2.78183499119133E-05,6.32612909612362E-07,0.000007521
3.7,-2.0000027939,-0.5000000596,2.80740622549332E-05,6.32612852768943E-07,0.000007521
3.732999936,-2.0000027731,-0.5000000596,2.83222540997163E-05,6.32612852768943E-07,0.000007521
3.765999872,-2.0000027522,-0.5000000596,2.85704459444993E-05,6.32612852768943E-07,0.000007521
3.8,-2.0000027307,-0.5000000596,2.882616021289E-05,6.32612852768943E-07,0.000007521
3.832999936,-2.0000027098,-0.5000000596,2.9074352057673E-05,6.32612852768943E-07,0.000007521
3.866000128,-2.0000026889,-0.5000000596,2.93225458278268E-05,6.32612852768943E-07,0.000007521
3.899000064,-2.0000026681,-0.5000000596,2.95707376726098E-05,6.32612795925525E-07,0.000007521
3.932999936,-2.0000026465,-0.5000000596,2.98264500001683E-05,6.32612795925525E-07,0.000007521
3.965999872,-2.0000026257,-0.5000000596,3.00746418299447E-05,6.32612795925525E-07,0.000007521
4,-2.0000026042,-0.5000000596,3.03303560983354E-05,6.32612795925525E-07,0.000007521
4.032999936,-2.0000025833,-0.5000000596,3.05785479281118E-05,6.32612795925525E-07,0.000007521
4.066000128,-2.0000025624,-0.5000000596,3.08267416832588E-05,6.32612739082106E-07,0.000007521
4.1,-2.0000025409,-0.5000000596,3.10824540108174E-05,6.32612739082106E-07,0.000007521
4.132999936,-2.00000252,-0.5000000596,3.13306458405938E-05,6.32612739082106E-07,0.000007521
4.165999872,-2.0000024991,-0.5000000596,3.15788376703702E-05,6.32612739082106E-07,0.000007521
4.200000256,-2.0000024776,-0.5000000596,3.183455384867E-05,6.32612739082106E-07,0.000007521
4.233000192,-2.0000024568,-0.5000000596,3.20827456784464E-05,6.32612739082106E-07,0.000007521
4.266000128,-2.0000024359,-0.5000000596,3.23309375082228E-05,6.32612739082106E-07,0.000007521
4.299000064,-2.000002415,-0.5000000596,3.25791293379992E-05,6.32612682238687E-07,0.000007521
4.332999936,-2.0000023935,-0.5000000596,3.28348416810191E-05,6.32612682238687E-07,0.000007521
4.365999872,-2.0000023726,-0.5000000596,0.000033083,6.32612682238687E-07,0.000007521
4.399999744,-2.0000023511,-0.5000000596,3.33387458383541E-05,6.32612682238687E-07,0.000007521
4.435000064,-2.000002329,-0.5000000596,0.000033602,0.0050052716,3.98146721636294E-06
4.466000128,-1.9998471652,-0.500000057,3.37254082529572E-05,0.0100052785,4.38183451478835E-06
4.5,-1.9995069871,-0.5000000512,3.38743900655852E-05,0.0100051509,8.02564045443432E-06
4.532999936,-1.9991768177,-0.5000000455,3.41392356869406E-05,0.0100051565,0.000008271
4.565999872,-1.9988466482,-0.5000000398,3.44121769368569E-05,0.0100051565,8.2975138866459E-06
4.600000256,-1.998506469,-0.5000000339,3.46942955952482E-05,0.0100051574,0.000008308
4.633000192,-1.9981762995,-0.5000000281,3.49684584451559E-05,0.0100051574,0.000008317
4.666000128,-1.9978461299,-0.5000000223,3.5242917465982E-05,0.0100051574,8.32586283650016E-06
4.7,-1.9975059558,-0.5000000162,0.000035526,0.0100051574,8.33505055197747E-06
4.732999936,-1.9971757863,-0.5000000102,3.58010518714846E-05,0.0100051584,0.000008344
4.765999872,-1.9968456167,-0.5000000043,3.60764028565911E-05,0.0100051584,8.35293667478254E-06
4.798999808,-1.9965154471,-0.4999999982,0.000036352,0.0100051584,8.36217805044726E-06
4.833000192,-1.9961752679,-0.4999999919,3.66363664970626E-05,0.0100051584,8.37116476759547E-06
4.866000128,-1.9958450983,-0.4999999858,3.69126143986387E-05,0.0100051584,8.38016876514303E-06
4.9,-1.9955049242,-0.4999999794,3.71975390639919E-05,0.0100051593,8.38946380099515E-06
4.932999936,-1.9951747546,-0.4999999732,3.74743908324991E-05,0.0100051593,8.39850235934136E-06
4.963000064,-1.9948745985,-0.4999999675,3.77263469782876E-05,0.0100051593,8.40755910758162E-06
5.000000256,-1.9945044057,-0.4999999603,3.80374282795195E-05,0.0100051593,8.41690871311585E-06
5.033000192,-1.9941742361,-0.4999999539,3.83151857283702E-05,0.0100051602,0.000008426
5.066000128,-1.9938440664,-0.4999999475,3.85932432198505E-05,0.0100051602,8.43511043058243E-06
5.1,-1.9935038923,-0.4999999408,0.00003888,0.0100051602,8.44451460579876E-06
5.132999936,-1.9931737226,-0.4999999343,3.91587043363386E-05,0.0100051602,8.45365957502509E-06
5.163000064,-1.9928735665,-0.4999999283,3.94123152056578E-05,0.0100051612,8.46282273414545E-06
5.198999808,-1.9925133833,-0.4999999211,0.000039717,0.0100051612,8.47228238853859E-06
5.233000192,-1.992173204,-0.4999999142,0.000040005,0.0100051612,8.48148101795232E-06
5.266000128,-1.9918430343,-0.4999999074,4.02849238429488E-05,0.0100051612,8.49069874675479E-06
5.3,-1.9915028601,-0.4999999004,4.0573606513529E-05,0.0100051621,8.50021297083003E-06
5.332999936,-1.9911726904,-0.4999998936,4.08541129975528E-05,0.0100051621,8.50946616992587E-06
5.365999872,-1.9908425207,-0.4999998867,4.11349248365545E-05,0.0100051621,8.51873755891575E-06
5.400000256,-1.9905023414,-0.4999998795,4.14245651847529E-05,0.0100051621,8.5283081716625E-06
5.433000192,-1.9901721717,-0.4999998726,0.000041706,0.010005163,8.53761594044045E-06
5.466000128,-1.9898420019,-0.4999998655,4.19877395882331E-05,0.010005163,8.54694189911243E-06
5.5,-1.9895018277,-0.4999998582,4.22783345187944E-05,0.010005163,8.55656981002539E-06
5.532999936,-1.9891716579,-0.4999998511,4.25607007749048E-05,0.010005164,8.56593214848544E-06
5.565999872,-1.9888414882,-0.4999998439,4.28433759875851E-05,0.010005164,8.57531267683953E-06
5.599999744,-1.9885013139,-0.4999998364,4.31349355209576E-05,0.010005164,0.000008585
5.633000192,-1.9881711389,-0.4999998291,4.34182442672583E-05,0.0150053045,5.4296433518175E-06
5.666000128,-1.9876759649,-0.4999998181,4.35974221503711E-05,0.0200053155,5.90337458561407E-06
5.7,-1.9869957867,-0.4999998027,4.379813613065E-05,0.020005187,9.58918280957732E-06
